city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Igarka,20,RU,1538155532,87,67.47,86.57,51.14,18.68
Kavieng,0,PG,1538155532,100,-2.57,150.8,83.36,11.52
Krasnovishersk,88,RU,1538155532,97,60.4,57.08,41.06,10.63
Klaksvik,92,FO,1538153400,93,62.23,-6.59,46.4,19.46
Rikitea,24,PF,1538155533,100,-23.12,-134.97,72.02,2.24
Bluff,64,NZ,1538155533,92,-46.6,168.33,52.58,25.28
Lyubokhna,92,RU,1538155533,96,53.51,34.39,49.52,10.96
Ilulissat,75,GL,1538153400,59,69.22,-51.1,37.4,5.82
Guerrero Negro,12,MX,1538155533,61,27.97,-114.04,80.39,5.03
Tuktoyaktuk,90,CA,1538154000,86,69.44,-133.03,30.2,16.11
Avarua,40,CK,1538154000,73,-21.21,-159.78,71.6,3.36
Namibe,0,AO,1538155534,100,-15.19,12.15,68.33,4.7
Hovd,12,MN,1538155534,78,48.01,91.64,37.1,2.57
Cabo San Lucas,40,MX,1538153100,74,22.89,-109.91,86.0,4.7
Mar del Plata,36,AR,1538155534,46,-46.43,-67.52,63.83,12.64
Vila Franca do Campo,75,PT,1538154000,88,37.72,-25.43,73.4,6.93
Necochea,88,AR,1538155535,77,-38.55,-58.74,64.55,21.47
Galle,76,LK,1538155535,93,6.04,80.22,79.58,7.72
Cherskiy,44,RU,1538155535,95,68.75,161.3,26.84,2.68
Tortoli,5,IT,1538153700,53,39.93,9.66,71.6,2.24
Vaini,75,TO,1538154000,78,-21.2,-175.2,73.4,6.93
Storsteinnes,40,NO,1538153400,93,69.24,19.23,35.6,10.29
Lebu,88,CL,1538155536,98,-37.62,-73.65,53.21,17.9
Busselton,56,AU,1538155536,100,-33.64,115.35,59.06,21.7
Nikolskoye,0,RU,1538152200,48,59.7,30.79,44.6,17.9
Souillac,75,MU,1538154000,64,-20.52,57.52,73.4,11.41
Bethel,75,US,1538153580,89,60.79,-161.76,53.96,13.87
Arraial do Cabo,75,BR,1538154000,83,-22.97,-42.02,77.0,9.17
Kapaa,75,US,1538153760,96,22.08,-159.32,75.02,10.29
Nevelsk,75,RU,1538150400,100,46.67,141.86,35.6,9.84
Bubaque,40,GW,1538154000,74,11.28,-15.83,84.2,14.99
Yellowknife,75,CA,1538154000,74,62.45,-114.38,33.8,14.99
Ushuaia,75,AR,1538150400,39,-54.81,-68.31,48.2,13.87
Broken Hill,44,AU,1538155539,56,-31.97,141.45,49.25,15.21
Baruun-Urt,76,MN,1538155539,83,46.68,113.28,35.12,13.42
Lazaro Cardenas,5,MX,1538152800,47,28.39,-105.62,77.0,5.82
Iqaluit,75,CA,1538154000,69,63.75,-68.52,35.6,10.29
Maceio,40,BR,1538154000,62,-9.67,-35.74,84.2,16.11
Ribeira Grande,20,PT,1538154000,69,38.52,-28.7,80.6,3.36
Hermanus,24,ZA,1538155541,70,-34.42,19.24,53.75,6.15
Kushima,75,JP,1538152500,88,31.5,131.29,71.6,14.99
New Norfolk,20,AU,1538154000,89,-42.78,147.06,39.2,10.29
Komsomolskiy,80,RU,1538155542,89,67.55,63.78,35.03,2.91
Carnarvon,0,AU,1538155542,97,-24.87,113.63,66.08,13.87
Cape Town,75,ZA,1538154000,67,-33.93,18.42,59.0,11.41
Kalianget,12,ID,1538155542,100,-7.74,113.68,69.5,4.47
Albany,12,AU,1538155543,78,-35.02,117.88,49.88,11.63
Mbanza-Ngungu,68,CD,1538155543,77,-5.25,14.87,78.5,3.69
Hami,0,CN,1538155543,56,42.84,93.51,43.22,1.57
Upernavik,76,GL,1538155543,100,72.79,-56.15,33.68,11.97
California City,1,US,1538153880,26,35.13,-117.99,82.94,3.36
Launceston,0,AU,1538154000,80,-41.43,147.14,33.8,1.12
Bredasdorp,8,ZA,1538154000,62,-34.53,20.04,59.0,17.22
Tiksi,56,RU,1538155544,96,71.64,128.87,25.22,5.59
Shuangyang,0,CN,1538155544,87,25.0,118.61,68.69,3.58
Lucapa,48,AO,1538155545,80,-8.42,20.74,75.35,7.83
Coahuayana,8,MX,1538155545,64,18.62,-100.35,81.02,3.02
Namatanai,0,PG,1538155545,100,-3.66,152.44,81.92,16.78
Weligama,76,LK,1538155545,93,5.97,80.42,79.58,7.72
Tarko-Sale,12,RU,1538155545,59,64.92,77.78,57.17,18.9
Verkhnyaya Inta,56,RU,1538155545,81,65.99,60.32,34.76,2.35
Mishan,76,CN,1538155463,85,45.55,131.88,43.76,3.36
Hithadhoo,92,MV,1538155545,100,-0.6,73.08,81.65,22.15
Chipata,0,ZM,1538155546,16,-13.64,32.65,78.32,13.98
Brod,92,MK,1538155546,64,40.95,21.56,49.16,0.67
High Level,75,CA,1538154000,74,58.52,-117.13,33.8,4.7
Chokurdakh,24,RU,1538155546,96,70.62,147.9,29.54,11.3
Kodiak,90,US,1538153580,51,39.95,-94.76,57.92,18.34
Vanimo,0,PG,1538155547,100,-2.67,141.3,83.63,5.93
Pindamonhangaba,75,BR,1538150400,83,-22.93,-45.46,73.4,3.36
Provideniya,92,RU,1538155547,94,64.42,-173.23,45.92,34.34
Ponta do Sol,0,CV,1538155548,95,17.2,-25.09,80.3,20.58
Kuldur,0,RU,1538155548,73,49.22,131.63,33.14,1.9
Belaya Gora,88,RU,1538155548,92,68.54,146.19,31.43,11.63
Lompoc,90,US,1538154660,96,34.64,-120.46,64.94,4.25
Hobart,20,AU,1538154000,77,-42.88,147.33,39.2,10.29
Moose Jaw,40,CA,1538154000,52,50.4,-105.54,42.8,17.22
Coquimbo,0,CL,1538150400,77,-29.95,-71.34,59.0,13.87
Punta Arenas,0,CL,1538150400,100,-53.16,-70.91,48.2,11.41
Aklavik,75,CA,1538154000,86,68.22,-135.01,33.8,10.29
Terney,68,RU,1538155549,95,45.05,136.61,52.76,6.15
Katangli,0,RU,1538155549,90,51.71,143.23,50.96,15.21
Bambous Virieux,75,MU,1538154000,64,-20.34,57.76,73.4,11.41
Trelew,0,AR,1538155550,56,-43.25,-65.31,66.26,17.34
Qarqin,0,AF,1538155550,25,37.41,66.03,67.25,10.63
Tasiilaq,75,GL,1538153400,93,65.61,-37.64,35.6,16.11
Chuy,92,UY,1538155550,95,-33.69,-53.46,63.56,21.03
Mareeba,40,AU,1538154000,73,-16.99,145.42,69.8,10.29
Coihaique,90,CL,1538150400,76,-45.58,-72.07,51.8,3.36
Jamestown,88,SH,1538155551,100,-15.94,-5.72,67.61,14.54
Tandil,92,AR,1538155551,97,-37.33,-59.14,60.86,16.89
Yumen,0,CN,1538155552,55,40.29,97.04,40.7,8.72
Salym,80,RU,1538155552,96,60.06,71.48,44.12,7.61
Okha,0,RU,1538155552,80,53.59,142.95,50.42,12.75
Sobolevo,36,RU,1538155553,79,54.43,31.9,44.03,9.28
Half Moon Bay,90,US,1538153760,82,37.46,-122.43,60.8,5.82
Butaritari,8,KI,1538155553,100,3.07,172.79,84.98,6.71
Tezu,36,IN,1538155553,75,27.93,96.16,64.19,1.9
Qaanaaq,24,GL,1538155553,100,77.48,-69.36,16.85,4.14
Atuona,48,PF,1538155553,100,-9.8,-139.03,79.13,12.19
Mogadishu,92,SO,1538155553,97,2.04,45.34,79.76,15.21
Awbari,100,LY,1538155554,46,26.59,12.77,74.36,6.38
Puerto Ayora,75,EC,1538154000,73,-0.74,-90.35,77.0,14.99
Paamiut,92,GL,1538155554,94,61.99,-49.67,40.43,18.01
La Ronge,40,CA,1538154000,55,55.1,-105.3,33.8,10.29
Dickinson,1,US,1538150160,14,46.88,-102.79,39.02,6.93
Beauvais,0,FR,1538154000,62,49.44,2.09,60.8,14.99
Port Alfred,0,ZA,1538155555,79,-33.59,26.89,65.27,20.92
Cooma,32,AU,1538155555,88,-36.24,149.13,35.3,3.24
Lavrentiya,80,RU,1538155555,89,65.58,-170.99,44.66,26.73
Jacareacanga,40,BR,1538154000,53,-6.22,-57.76,95.0,10.29
Nago,90,JP,1538152200,88,26.59,127.98,82.4,39.15
Georgetown,12,SH,1538155556,100,-7.93,-14.42,75.08,17.67
Tual,12,ID,1538155556,98,-5.67,132.75,81.02,14.88
Mahebourg,75,MU,1538154000,64,-20.41,57.7,73.4,11.41
Lapeer,90,US,1538154900,88,43.05,-83.32,68.72,14.99
Longyearbyen,40,SJ,1538153400,73,78.22,15.64,24.8,14.99
Calama,0,CL,1538150400,5,-22.46,-68.93,75.2,16.11
Port Elizabeth,20,ZA,1538154000,67,-33.92,25.57,60.8,26.4
Vila Velha,20,BR,1538154000,52,-3.71,-38.6,87.8,21.92
Bonavista,80,CA,1538155557,94,48.65,-53.11,52.22,18.57
Isangel,100,VU,1538155557,100,-19.55,169.27,68.42,20.02
Leningradskiy,24,RU,1538155557,96,69.38,178.42,39.8,24.49
Ximei,0,CN,1538150400,78,24.96,118.38,77.0,4.7
Moree,68,AU,1538155558,64,-29.46,149.84,62.39,1.9
Dunedin,0,NZ,1538155306,73,-45.87,170.5,37.46,10.63
Kaitangata,0,NZ,1538155558,73,-46.28,169.85,35.03,9.62
Corpus Christi,44,PY,1538155558,66,-24.08,-54.94,86.42,6.6
Portland,76,AU,1538155558,69,-33.35,149.98,48.53,5.59
Chiredzi,0,ZW,1538155558,28,-21.05,31.67,84.35,13.09
Muros,20,ES,1538154000,69,42.77,-9.06,73.4,6.93
Hamilton,20,BM,1538153700,54,32.3,-64.78,82.4,5.82
Xiuyan,48,CN,1538155559,94,40.29,123.27,52.85,2.35
Saskylakh,8,RU,1538155559,84,71.97,114.09,24.05,3.58
Acapulco,75,MX,1538153460,66,16.86,-99.88,87.8,2.24
Cockburn Town,8,BS,1538155560,91,24.03,-74.52,85.16,11.97
Adrar,40,DZ,1538154000,42,27.87,-0.29,82.4,23.04
Karla,75,EE,1538153400,70,59.37,24.93,46.4,13.87
Svetlogorsk,75,RU,1538152200,75,53.14,59.15,42.8,11.18
Cayenne,40,GF,1538154000,59,4.94,-52.33,91.4,14.99
Ahipara,0,NZ,1538155562,100,-35.17,173.16,42.5,2.91
Huarmey,8,PE,1538155562,57,-10.07,-78.15,73.91,3.91
Dikson,24,RU,1538155563,89,73.51,80.55,40.16,9.4
Longavi,92,CL,1538155563,99,-35.97,-71.68,46.1,6.93
Monterey,90,US,1538153700,83,36.6,-121.89,57.92,3.36
Tautira,20,PF,1538154000,69,-17.73,-149.15,75.2,2.24
Castro,80,CL,1538155563,98,-42.48,-73.76,51.32,8.5
Mount Gambier,88,AU,1538155564,61,-37.83,140.78,46.46,4.7
Tocopilla,0,CL,1538155564,94,-22.09,-70.2,64.73,7.72
Berlevag,40,NO,1538153400,80,70.86,29.09,33.8,10.29
Praia da Vitoria,20,PT,1538154000,78,38.73,-27.07,77.0,11.74
Cidreira,68,BR,1538155564,90,-30.17,-50.22,70.22,19.35
Manggar,8,ID,1538155565,96,-2.88,108.27,76.07,6.15
Tanout,80,NE,1538155565,17,14.97,8.88,93.8,5.37
Hilo,1,US,1538153760,81,19.71,-155.08,73.04,5.82
Tula,92,MX,1538155565,100,18.59,-95.38,78.14,5.7
Helena,90,US,1538155260,76,46.59,-112.04,42.98,4.7
Lae,92,PG,1538155567,100,-6.72,146.98,67.52,1.79
Centralia,1,US,1538153760,77,46.72,-122.96,64.04,3.13
Impfondo,56,CG,1538155567,88,1.64,18.07,77.33,1.57
Newport,90,US,1538155140,92,41.49,-71.31,60.8,4.7
Tsuyama,92,JP,1538155568,100,35.14,134.03,58.61,3.47
Bandarbeyla,0,SO,1538155352,98,9.49,50.81,78.32,19.91
Oranjemund,0,NA,1538155569,94,-28.55,16.43,57.98,26.73
Artigas,8,UY,1538155569,85,-30.4,-56.47,81.2,9.51
Comodoro Rivadavia,40,AR,1538150400,42,-45.87,-67.48,66.2,12.75
Najran,0,SA,1538154000,16,17.54,44.22,84.2,5.82
Nelson Bay,75,AU,1538154000,88,-32.72,152.14,62.6,19.46
Clyde River,90,CA,1538154000,79,70.47,-68.59,28.4,2.24
Chenzhou,88,CN,1538155571,92,25.81,113.03,65.18,6.93
Saldanha,20,ZA,1538154000,62,-33.01,17.94,59.0,4.7
Bindki,20,IN,1538155572,56,26.04,80.58,83.9,4.36
Tonneins,0,FR,1538154000,39,44.39,0.31,80.6,9.17
Muriwai Beach,64,NZ,1538154000,100,-36.82,174.45,44.6,1.12
Winsum,12,NL,1538153700,58,53.33,6.52,55.4,11.41
Richards Bay,36,ZA,1538155572,79,-28.77,32.06,69.86,14.99
Faanui,8,PF,1538155572,100,-16.48,-151.75,77.15,5.7
Gravdal,40,NO,1538153400,81,59.79,5.78,48.2,2.24
Yulara,92,AU,1538154000,34,-25.24,130.99,68.0,13.87
Praia,0,CV,1538154000,62,14.92,-23.51,86.0,18.34
Nichinan,75,JP,1538152500,88,31.65,131.31,71.6,14.99
Makakilo City,75,US,1538154720,100,21.35,-158.09,78.98,5.82
Amapa,0,BR,1538155636,35,-1.83,-56.23,98.93,6.04
Chateauroux,0,FR,1538154000,39,43.72,0.65,82.4,9.17
Okahandja,0,NA,1538154000,11,-21.98,16.91,78.8,9.17
San Cristobal,88,EC,1538155575,96,-1.02,-79.44,67.7,3.24
Esperance,0,AU,1538155575,71,-33.86,121.89,48.35,13.65
Chuguyevka,64,RU,1538155575,84,44.17,133.87,39.62,2.24
Tura,8,RU,1538155575,92,64.27,100.22,36.38,2.13
Grand Gaube,75,MU,1538154000,64,-20.01,57.66,73.4,11.41
Campo Maior,0,BR,1538155575,24,-4.83,-42.16,100.82,10.18
Eyl,56,SO,1538155576,83,7.98,49.82,78.95,17.11
Homer,90,US,1538154000,96,59.64,-151.54,48.92,5.82
East London,0,ZA,1538154000,63,-33.02,27.91,60.8,16.11
Camopi,8,GF,1538155576,35,3.17,-52.33,97.13,5.26
Norman Wells,75,CA,1538154000,80,65.28,-126.83,33.8,14.99
Saint-Francois,75,GP,1538154000,70,16.25,-61.27,86.0,17.22
Minab,20,IR,1538154000,66,27.15,57.07,89.6,4.7
Peabiru,40,BR,1538150400,51,-23.91,-52.35,84.2,4.7
Thompson,90,CA,1538154000,75,55.74,-97.86,32.0,8.05
Felipe Carrillo Puerto,56,MX,1538155578,60,19.58,-88.05,89.75,7.38
Port Shepstone,0,ZA,1538155578,77,-30.74,30.45,70.4,16.44
Potam,40,MX,1538153280,79,27.6,-110.38,87.8,6.93
Mercedes,8,AR,1538155578,63,-29.18,-58.08,88.94,12.75
General Roca,75,AR,1538150400,82,-39.03,-67.58,59.0,6.93
Pauini,76,BR,1538155579,91,-7.71,-67.0,81.74,4.7
Zhuhai,40,CN,1538150400,66,40.71,112.04,48.2,8.95
Barrow,1,US,1538154900,48,39.51,-90.4,73.04,11.41
Katsuura,100,JP,1538155580,100,33.93,134.5,65.99,4.36
Mackay,0,AU,1538150400,93,-21.15,149.2,62.6,6.93
Aykhal,56,RU,1538155580,87,65.95,111.51,34.4,2.8
Port Blair,0,IN,1538155398,100,11.67,92.75,83.72,1.57
Mecca,8,SA,1538155441,40,21.43,39.83,83.27,2.24
Havoysund,75,NO,1538153400,100,71.0,24.66,37.4,20.8
Poum,92,NC,1538155581,100,-20.23,164.02,72.83,20.69
Moerai,20,PF,1538155581,100,-22.43,-151.33,71.66,4.7
Alugan,12,PH,1538155581,96,12.22,125.48,80.75,8.05
Margate,0,ZA,1538155581,77,-30.86,30.37,70.4,16.44
College,20,US,1538153580,16,64.86,-147.8,35.06,9.17
Torbay,90,CA,1538154600,100,47.66,-52.73,53.6,12.75
